time,odom_v,odom_w,odom_x,odom_y,odom_z,odom_ori_w
1708780510.3903809,0.0,0.0,0.6193565045097809,4.196384715952295,0.6784962338388136,0.7346038801058337
1708780510.410533,0.0,0.0,0.6193565045097809,4.196384715952295,0.6784962338388136,0.7346038801058337
1708780510.4305203,0.0,0.0,0.6193565045097809,4.196384715952295,0.6784962338388136,0.7346038801058337
1708780510.450408,0.0,0.0,0.6193565045097809,4.196384715952295,0.6784962338388136,0.7346038801058337
1708780510.470427,0.0,0.0,0.6193565045097809,4.196384715952295,0.6784962338388136,0.7346038801058337
1708780510.490549,0.0,0.0,0.6193565045097809,4.196384715952295,0.6784962338388136,0.7346038801058337
1708780510.5104144,0.0,0.0,0.6193565045097809,4.196384715952295,0.6784962338388136,0.7346038801058337
1708780510.5304081,0.0,0.0,0.6193565045097809,4.196384715952295,0.6784962338388136,0.7346038801058337
1708780510.5503926,0.0,0.0,0.6193565045097809,4.196384715952295,0.6784962338388136,0.7346038801058337
1708780510.5704992,0.0,0.0,0.6193565045097809,4.196384715952295,0.6784962338388136,0.7346038801058337
1708780510.5904853,0.0,0.0,0.6193565045097809,4.196384715952295,0.6784962338388136,0.7346038801058337
1708780510.6103902,0.0,0.0,0.6193565045097809,4.196384715952295,0.6784962338388136,0.7346038801058337
1708780510.6304886,0.0,0.0,0.6193565045097809,4.196384715952295,0.6784962338388136,0.7346038801058337
1708780510.6504035,0.0,0.0,0.6193565045097809,4.196384715952295,0.6784962338388136,0.7346038801058337
1708780510.670522,0.0,0.0,0.6193565045097809,4.196384715952295,0.6784962338388136,0.7346038801058337
1708780510.6903985,0.0,0.0,0.6193565045097809,4.196384715952295,0.6784962338388136,0.7346038801058337
1708780510.7104201,0.0,0.0,0.6193565045097809,4.196384715952295,0.6784962338388136,0.7346038801058337
1708780510.7303917,0.0,0.0,0.6193565045097809,4.196384715952295,0.6784962338388136,0.7346038801058337
1708780510.7504961,0.0,0.0,0.6193565045097809,4.196384715952295,0.6784962338388136,0.7346038801058337
1708780510.7703934,0.0,0.0,0.6193565045097809,4.196384715952295,0.6784962338388136,0.7346038801058337
1708780510.7904696,0.0,0.0,0.6193565045097809,4.196384715952295,0.6784962338388136,0.7346038801058337
1708780510.8103914,0.0,0.0,0.6193565045097809,4.196384715952295,0.6784962338388136,0.7346038801058337
1708780510.8305087,0.0,0.0,0.6193565045097809,4.196384715952295,0.6784962338388136,0.7346038801058337
1708780510.8504927,0.0,0.0,0.6193565045097809,4.196384715952295,0.6784962338388136,0.7346038801058337
1708780510.8704147,0.0,0.0,0.6193565045097809,4.196384715952295,0.6784962338388136,0.7346038801058337
1708780510.8905108,0.0,0.0,0.6193565045097809,4.196384715952295,0.6784962338388136,0.7346038801058337
1708780510.910506,0.0,0.0,0.6193565045097809,4.196384715952295,0.6784962338388136,0.7346038801058337
1708780510.930467,0.0,0.0,0.6193565045097809,4.196384715952295,0.6784962338388136,0.7346038801058337
1708780510.950536,0.0,0.0,0.6193565045097809,4.196384715952295,0.6784962338388136,0.7346038801058337
1708780510.9705496,0.0,0.0,0.6193565045097809,4.196384715952295,0.6784962338388136,0.7346038801058337
1708780510.9904878,0.0,0.0,0.6193565045097809,4.196384715952295,0.6784962338388136,0.7346038801058337
1708780511.010525,0.0,0.0,0.6193565045097809,4.196384715952295,0.6784962338388136,0.7346038801058337
