timestamp,time,odom_v,odom_w,odom_x,odom_y,odom_z,odom_ori_w
1709188481091235876,1708780510.5904853,0.0,0.0,0.6193565045097809,4.196384715952295,0.6784962338388136,0.7346038801058337
1709188481191271305,1708780510.6903985,0.0,0.0,0.6193565045097809,4.196384715952295,0.6784962338388136,0.7346038801058337
1709188481291186094,1708780510.8103914,0.0,0.0,0.6193565045097809,4.196384715952295,0.6784962338388136,0.7346038801058337
1709188481391103029,1708780510.8905108,0.0,0.0,0.6193565045097809,4.196384715952295,0.6784962338388136,0.7346038801058337
1709188481491143465,1708780510.9904878,0.0,0.0,0.6193565045097809,4.196384715952295,0.6784962338388136,0.7346038801058337
1709188481591137886,1708780511.0905125,-0.004000000189989805,-0.03500000014901161,0.6193437659031664,4.1962252606297,0.6779819628026638,0.735078538738717
1709188481691121816,1708780511.1904938,-0.008999999612569809,-0.1469999998807907,0.6192549695173855,4.195189749092811,0.6736622087165233,0.7390393958018581
1709188481791105031,1708780511.3304996,0.004000000189989805,-0.2590000033378601,0.6192925574083724,4.195509845673814,0.6628062553241034,0.7487909373805477
1709188481891289710,1708780511.4104018,0.004000000189989805,-0.32899999618530273,0.6193584780068871,4.196025819035121,0.6528065255207107,0.7575246796227683
1709188481991266965,1708780511.450513,0.0,-0.2939999997615814,0.6193584780068871,4.196025819035121,0.648328601904625,0.7613606398760013
1709188482091290473,1708780511.5903711,0.004000000189989805,-0.2590000033378601,0.6193606115586839,4.196024299951793,0.6347202983082246,0.7727419639928443
1709188482191256284,1708780511.6904705,0.004000000189989805,-0.2590000033378601,0.6193613489691646,4.196024050216523,0.6254942202099337,0.78022880008621
1709188482291306734,1708780511.7505288,0.0,-0.22300000488758087,0.6193613489691646,4.196024050216523,0.6202554251331579,0.7843999028511449
1709188482391247272,1708780511.890433,0.0,-0.22300000488758087,0.619361097078702,4.196024240332624,0.6074204668542005,0.7943804985311669
1709188482491663932,1708780511.9903872,0.0,-0.22300000488758087,0.6193829087131406,4.196101613150078,0.597665264162488,0.8017457402528456
